category_name,product_name,unit_price
米油沖泡_米．食用油_食用米_米,中興米外銷日本之米(圓ㄧ)3Kg,169
米油沖泡_米．食用油_食用米_米,樂米穀場花東自然農耕特哉鮮白米(圓二)1.5K,189
飲料零食_精選餅乾_鹹餅乾_米果,鴻津太國捲(蛋奶素)-370g,88
日用百貨_家庭清潔_洗衣用品_洗衣精,一匙靈Attack抗菌EX洗衣精補充-1.5Kg,79
生鮮食品_蔬菜．水果．禮盒_各式蔬菜_果實類,台灣履歷去殼玉米筍(每盒約100克),39
米油沖泡_泡麵．麵條_速食麵_麵條拉麵,農心辛拉麵超值包120g x5,159
米油沖泡_米．食用油_食用米_米,三好米ㄧ等壽司米(圓一)2.7kg,278
飲料零食_精選餅乾_鹹餅乾_點心零食,好麗友烏龜玉米脆片,59
米油沖泡_咖啡．茶包_咖啡_咖啡隨身包,UCC經典風味濾掛式咖啡,316
日用百貨_家庭清潔_洗衣用品_洗衣精,依必朗防蹣抗菌洗衣精補充包-綠茶香氛-2000g,69
生鮮食品_肉品．高湯_雞．鴨．家禽_雞肉,安心雞-雞里肌肉,69
米油沖泡_米．食用油_食用米_米,三好履歷契作有身分證米(圓一)3Kg,299
生鮮食品_蔬菜．水果．禮盒_各式蔬菜_根莖、筍類,家樂福嚴選紅蘿蔔(每袋約600g),45
生鮮食品_冷藏食品_各式蛋品_蛋製品,大成白色巨蛋10粒-L(冷藏),79
米油沖泡_咖啡．茶包_咖啡_咖啡隨身包,西雅圖極品深焙二合一咖啡,188
米油沖泡_泡麵．麵條_速食麵_蔬菜口味,維力素飄香麻辣燙風味麵-90gx5,58
米油沖泡_米．食用油_食用米_米,皇家榖堡皇家台東米(圓ㄧ)3Kg,159
飲料零食_精選餅乾_鹹餅乾_點心零食,可樂果素食量販包,58
米油沖泡_調味品．罐頭．湯品_調味粉．醬_醋,工研烏醋 600g,43
冷凍食品_微波食品_微波餐點_義大利麵．丼飯．麵點,讚岐冷凍烏龍麵,83
生活休閒_寵物用品_狗_狗乾糧．罐頭,家樂福超值狗食罐頭(雞肉風味),26
米油沖泡_泡麵．麵條_速食麵_蔬菜口味,味丹隨緣素肉骨茶麵(袋)90gx5,74
米油沖泡_米．食用油_食用米_米,天生好米優質九號米3kg,318
飲料零食_精選餅乾_鹹餅乾_點心零食,好麗友好多魚餅乾(海苔口味),60
米油沖泡_泡麵．麵條_米粉．麵條_米粉及其它口味,王子麵-火鍋/滷味專用50g*5入組,35
生鮮食品_海鮮水產_鮮魚_切片魚,履歷去刺虱目魚肚(每包約150克),89
米油沖泡_咖啡．茶包_咖啡_咖啡隨身包,西雅圖極品深焙三合一咖啡,188
米油沖泡_咖啡．茶包_咖啡_咖啡隨身包,UCC炭燒濾掛式咖啡-8gx24,316
米油沖泡_米．食用油_食用米_米,天生好米嚴選月之米6kg,399
飲料零食_休閒零食_洋芋片．薯條_其它口味,樂事家庭號洋芋片-黑胡椒湖鹽口味-260g,79
米油沖泡_奶粉．麥片．穀粉_早餐食品_燕麥,桂格即沖即食大燕麥片1100g,139
生鮮食品_肉品．高湯_豬．牛．羊肉_豬肉,家樂福冷凍黑豬梅花火鍋片(每盒約250克),130
米油沖泡_泡麵．麵條_速食麵_蔬菜口味,味丹隨緣鮮蔬百匯麵(袋)80gx5,74
生鮮食品_蔬菜．水果．禮盒_菇菌類_香菇類,家樂福有機金針菇(每包約200g),12
飲料零食_精選餅乾_鹹餅乾_點心零食,農心洋蔥圈(原味)-80g,45
飲料零食_精選餅乾_甜餅乾_威化夾心酥,新貴派大格酥鹿耳島抹茶 324g,99
美妝護理_個人清潔_沐浴用品_進口香皂．抗菌香皂．潔手乳,台鹽蓓舒美海鹽抗菌洗手露-500ml,109
冷凍食品_微波食品_冷凍肉品．蔬菜_冷凍蔬菜,龍鳳冷凍青花菜-500g,89
米油沖泡_泡麵．麵條_速食麵_蔬菜口味,維力素飄香-素排骨雞-90gx5,58
生鮮食品_蔬菜．水果．禮盒_菇菌類_香菇類,履歷香菇(每盒約150克),39
飲料零食_精選餅乾_鹹餅乾_其他口味,海太加鈣營養餅-起士口味,51
米油沖泡_米．食用油_食用米_米,台東關山好米(圓二)9kg,499
生鮮食品_冷藏食品_乳製品_優格,家樂福藍莓優格-100gx2,24
日用百貨_家庭清潔_補充配件_靜電紙,無塵氏 酒精抗菌擦拭巾80抽,89
米油沖泡_泡麵．麵條_速食麵_雞肉口味,韓式小雞麵(香辣味)袋裝28g*3,38
美妝護理_女性衛生_衛生棉_夜用,蘇菲超熟睡夜用細緻棉柔28cm(16片x3包),125
飲料零食_精選餅乾_甜餅乾_威化夾心酥,77新貴派18片盒裝-濃郁抹茶-252g,120
生活休閒_日用百貨_餐具/鍋具/廚房配件_鋁箔、保鮮膜袋,妙潔耐熱袋量販包(半斤)265入,84
米油沖泡_泡麵．麵條_速食麵_麵條拉麵,農心爽口海鮮烏龍麵超值包-120gx5,159
飲料零食_休閒零食_洋芋片．薯條_蔬菜,樂事青檸享清新,36
生鮮食品_肉品．高湯_豬．牛．羊肉_豬肉,家樂福冷凍黑豬五花火鍋片(每盒約250克),130
米油沖泡_泡麵．麵條_速食麵_蔬菜口味,維力素飄香-素紅燒牛肉-85gx5,58
日用百貨_家庭清潔_洗衣用品_洗衣精,家樂福超值抗菌濃縮洗衣精,113
日用百貨_家庭清潔_洗衣用品_洗衣精,一匙靈Attack抗菌EX濃縮洗衣精-2.4Kg,149
米油沖泡_泡麵．麵條_速食麵_麵條拉麵,不倒翁起司拉麵(袋)111g,142
冷凍食品_微波食品_微波餐點_義大利麵．丼飯．麵點,家樂福超值蕃茄肉醬義大利麵-1080g,89
生鮮食品_海鮮水產_軟足．文蛤．貝．蝦類_蝦蟹類,履歷白蝦仁(每盒約150克),139
飲料零食_休閒零食_洋芋片．薯條_原味,DJ&A甜辣厚切馬鈴薯條-227g,189
米油沖泡_奶粉．麥片．穀粉_沖泡飲品_其他早餐飲品,桂格鮮穀王-野菇多穀飲-26gx10,142
生活休閒_日用百貨_餐具/鍋具/廚房配件_鋁箔、保鮮膜袋,妙潔耐熱袋量販包(六兩)345入,84
飲料零食_精選餅乾_甜餅乾_威化夾心酥,77新貴派18片盒裝-清爽檸檬-252g,120
飲料零食_精選餅乾_甜餅乾_其它口味,韓國大蒜麵包餅乾-40g,49
飲料零食_茶飲．咖啡．水_茶飲_花茶與水果茶,伊藤園TEASTEA蘋果紅茶535ml,29
